Horse,Draw,12f,11f,10f,9f,8f,7f,6f,5f,4f,3f,2f,1f,WP
Hartnell,4,16.25,12.24,13.86,12.28,13.22,13.68,12.9,13.11,12.21,11.63,11.32,11.17,12.42
Windshear,5,16.79,12.29,13.98,12.25,13.27,13.74,12.85,13,12.12,11.56,11.08,11.32,12.5
Forever Now,2,16.43,12.29,13.85,12.25,13.19,13.83,12.84,13.03,12.17,11.58,11.27,11.62,12.9
Honor Bound,1,16.7,12.19,13.94,12.18,13.17,13.77,12.87,13.02,12.19,11.56,11.22,11.64,13.08
The Corsican,6,16.49,12.39,13.94,12.23,13.15,13.86,12.9,12.98,12.16,11.5,11.36,11.86,14.12
Vent De Force,7,16.79,12.38,13.96,12.3,13.37,13.63,12.85,13.04,11.84,11.46,11.43,12.16,16.12
